dataset,x,y
A,32.3311102266,61.411101248
A,53.4214628807,26.1868803879
A,63.92020226,30.8321939163
A,70.2895057187,82.5336485877
A,34.1188302357,45.7345513203
A,67.6707164012,37.110947969
A,53.2591294055,97.4757710964
A,63.5149808671,25.1000785788
A,67.9805388133,80.9571652197
A,67.3724659005,29.720400203
A,15.5607495229,80.0656402858
A,71.7907676942,71.0654666627
A,70.2425464362,24.1095975542
A,64.9374355444,81.5542049945
A,62.2135245453,21.4758389969
A,67.2694004772,18.7089683725
A,40.5701970446,79.3729634752
A,74.7411813341,21.1016372041
A,71.7683189223,20.0110618423
A,76.1669198143,75.9361704048
A,65.6236574431,15.5828033531
A,50.8506336394,13.9876016304
A,33.0240700249,24.4678303872
A,39.7063261674,84.2752871038
A,45.5964849542,9.76334884943
A,42.9680469104,17.9454583961
A,52.4944067819,16.0511142003
A,46.0822757831,23.1104578154
A,74.2477082092,20.314187812
A,64.5682641863,83.6396338956
A,74.0216939058,76.1282745076
A,62.3911805626,5.62307076073
A,74.189036683,68.1335832223
A,28.2367819396,56.1395964513
A,75.7719387944,69.8292300322
A,75.8552294691,62.5170442862
A,65.9708570175,72.7448559954
A,21.7780404779,6.61662530728
A,67.7597962473,72.4212015285
A,78.6171953363,52.5752573142
A,68.5077081898,15.4569189652
A,74.8850211598,25.4166063231
A,66.4549036599,19.8366286542
A,77.3178020985,48.3983464352
A,58.9124603193,75.6677562173
A,57.617447817,8.19480060319
A,76.0882257967,59.6799300235
A,57.4660505497,1.50441817488
A,79.4283834934,45.2107942872
A,76.3565221496,10.4182411281
A,64.4050752632,78.5841760758
A,40.6350418091,73.3947503698
A,43.9498645857,75.9587156671
A,30.9962205791,71.694404938
A,68.2307689907,80.8725016628
A,72.0463894612,12.9180067349
A,46.5927679682,84.9723827774
A,49.2572183396,81.8814032306
A,42.7817612539,12.9911884302
A,65.475952195,14.2745856444
A,71.9650826544,17.7102359443
A,32.1464623358,43.4817094425
A,31.8384976954,71.8121653901
A,31.0052582572,40.682503007
A,80.4708943189,49.5021483467
A,71.9641671122,41.8742826668
A,78.0794214417,93.1333167652
A,41.6775957748,30.2012640846
A,65.953595185,31.1474060835
A,62.9344593731,31.9163906992
A,64.3737979844,28.8625834061
A,72.5093283599,39.5401302526
A,30.0522898741,96.6175423534
A,28.0033242354,46.6721919544
A,75.4012268619,88.6390766207
A,38.9800154218,87.322160691
A,65.2199135479,84.6829549336
A,73.0539899616,29.3808085571
A,34.3983616372,59.5444469033
A,43.4904501336,40.782542065
A,55.138737967,30.7257603575
A,43.6843934333,32.8230098696
A,35.9036097344,91.1118630801
A,45.3780188805,29.1692166544
A,39.7774828713,43.75581895
A,38.6644611569,33.3172384774
A,39.0440366877,84.6760108316
A,91.6399614428,79.4066030605
A,47.4881326771,85.3899333808
A,44.5902125769,22.0340116412
A,39.0896145478,70.4661940802
A,42.2293783752,19.9140684075
A,37.0003871448,60.264279248
A,39.0520864793,70.6525028457
A,37.4884147432,60.8144048511
A,69.3595594592,65.5213545959
A,43.542775926,62.4603112824
A,39.8112302539,65.3348328092
A,70.0689259404,7.59346560899
A,70.0405435824,77.1438066024
A,39.505789079,74.8516272173
A,62.5168908529,66.4847322418
A,72.1399254065,0.0151193251552
A,45.2515760666,70.0034213192
A,42.0633045627,2.33519661206
A,36.3556951539,6.0058486497
A,30.3918276596,42.75961287
A,36.4490038543,50.5462690659
A,40.467576002,60.0275120878
A,81.7246168002,6.03754484635
A,48.8231974964,76.6353305783
A,35.6205617651,57.2860155789
A,50.5839631148,71.8066161014
A,61.8564651063,71.7927431642
A,39.3237560262,59.3008196656
A,42.1856791429,66.0348978235
A,30.8469189898,37.3416401041
A,29.3462004281,42.1487418312
A,82.1105579783,1.21055166293
A,38.3020058088,60.0177857932
