dataset,x,y
A,56.5841530218,70.512514809
A,33.3393742865,0.5091067352
A,78.7742390407,35.4841012146
A,27.9226442446,25.9868781844
A,71.6978651182,10.8681445111
A,74.1383313856,49.1739189791
A,32.579020066,1.80811559665
A,59.83218542,69.1525081443
A,35.0306285457,12.5366493416
A,74.3001198284,42.4770945921
A,63.2501970628,65.9524861966
A,34.1730737648,25.6936743092
A,40.9138319319,38.5590195509
A,62.8332930874,62.5108942269
A,42.4767923803,56.7312899691
A,52.0334562787,64.5666620298
A,48.9070429644,74.2877488252
A,59.8518383854,72.9583909677
A,48.9604602016,72.6295257275
A,46.8448551673,36.7917136918
A,39.9630215796,42.9449148487
A,66.704943997,32.0150954299
B,53.366566866,90.2080300059
B,52.8019793617,90.0880645063
B,47.0541298828,90.458936026
B,42.4484337816,89.5077001153
B,42.7040363241,90.4426288607
B,32.3789386326,90.144142631
B,32.5307027362,70.1573965085
B,33.3652644305,70.4593354392
B,32.6560991775,70.0510704992
B,22.9550932697,70.4268951523
B,27.1498436318,70.2108058428
B,26.1669092779,70.5003151212
B,26.3314570795,50.494556525
B,22.0037091415,50.4994401238
B,23.2847479782,50.4743528321
B,27.6340383923,50.5036668574
B,32.0371080007,50.5000661229
B,29.3365106528,50.461893969
B,40.816953133,50.4877601957
B,42.7390751173,50.483155992
B,51.8678937691,50.4932732621
B,43.3710018924,50.5008373234
B,53.0427983006,50.4875038691
B,56.6189102967,50.5033740178
B,70.568289819,50.4962361243
B,67.870887292,70.0680261345
B,58.8215465891,70.4557817483
B,60.1869278445,70.4835512458
B,59.4355174849,50.4206326073
B,49.5858434795,50.4349813825
B,41.7797417848,50.4706422808
B,46.1276863394,30.4494107792
B,38.0337837705,50.4908995189
B,44.5468412844,50.4159133758
B,46.2381175975,30.4956129408
B,49.7397453317,30.4727248868
B,39.1102518936,30.4786951789
B,39.1428377913,30.7928559394
B,34.6254702671,30.4997410297
B,34.7542074707,30.4958650002
B,36.7537002386,50.5293043035
B,37.0193512929,50.4926666972
B,41.4171152753,50.4697734181
B,22.8171074784,30.4360403387
B,34.800701463,30.4979313851
B,27.8918897953,30.4849702595
B,32.8706391587,30.5023417488
B,37.7940494081,30.4926383364
B,35.6673163042,30.522035054
B,48.4422995026,30.5017227753
B,58.6693732631,30.5068378948
B,47.9169554375,30.4867257545
B,51.8941663939,30.494755684
B,51.7490891643,30.4729933399
B,58.2465530013,50.4428744949
B,57.3106968674,50.4825132895
B,67.9680481127,50.4521589097
B,65.9493192681,50.494240794
B,55.7470928102,50.4789748003
B,68.4030100436,50.4986272318
B,76.696465628,50.4938305609
B,67.2148371159,70.2600284356
B,72.3020057291,70.2204373812
B,66.7632573944,70.4738617113
B,51.6803004439,89.9970275485
B,53.0965573571,89.540243712
B,42.2422929389,89.7085785936
B,56.2338756577,89.635308157
B,54.6809865825,89.9645994589
B,57.9026866088,89.6184017294
B,51.8202625467,89.8341303987
B,56.8283953362,89.5836647251
B,58.2722785867,69.9002729578
B,51.8281274487,70.3526492053
B,44.8499842618,70.3952029719
B,24.2703823928,50.4855676918
B,34.7424714403,70.3399348879
B,37.7993149267,70.4695358763
B,49.7869410649,89.6580469945
B,59.751497414,89.7319325216
B,64.7747992444,90.132316736
B,70.8444476004,89.9242090159
B,70.6059455116,90.042061963
B,78.6424883907,89.5512032307
B,70.810692254,89.5926540118
B,66.7699466213,70.4233752108
B,73.3363681612,70.3169271705
B,73.1051481627,70.300511881
B,74.6782541432,70.4453141903
B,80.240250951,70.3543089613
B,70.9468490729,50.4727017878
B,88.6626638086,50.4553260208
B,84.405952832,50.4948658866
B,75.9871047068,50.4919669557
B,91.1120854191,50.489389393
B,98.2881232748,30.6039193719
B,95.0652748396,30.5004028652
B,95.2492339568,30.4594542144
B,49.6561262881,50.4313198677
B,63.0186009279,30.4925819262
B,70.5382006004,30.4835582526
B,70.0868697658,30.5100448173
B,62.6856904424,30.5464245575
B,69.239417959,30.5060052447
B,80.4002336791,30.4850063746
B,74.6478782284,30.6738628584
B,65.9952727194,30.4750241915
B,67.0885590036,30.4945239508
B,59.8525770283,10.5431877763
B,53.7489900744,10.5225745323
B,58.2390955164,10.4948990284
B,54.810300495,10.7249292845
B,52.9767123211,10.859490276
B,52.2038939272,10.4956369212
B,50.7451622429,10.5249055723
B,42.7131936166,10.4875472428
B,45.3172255098,10.4958733944
B,53.116915041,10.5068605973
B,57.049801823,10.5081369414
B,54.8546309465,10.4639151924
B,54.9248425638,10.498331942
B,63.3095540306,10.4888142392
B,49.7494984129,10.4858029097
B,41.1693104232,10.4973002433
B,46.6883404976,10.5075321353
B,52.4189219215,10.4959063596
B,50.8784883796,10.5030898746
B,57.0533061394,10.5140692392
B,70.7864511597,10.5136950409
B,56.7721495656,10.5032723508
B,75.4772220231,10.5185680355
B,76.7659121498,10.496999064
B,77.621049129,10.4958742318
B,65.4144870523,10.6818401251
B,69.9647805002,10.5072329326
B,64.9697382623,10.4821595117
B,38.0502407785,30.4079460343
B,42.2241202189,30.4980371582
B,87.6984642949,50.4899365296
B,52.3603310701,89.7043170068
B,51.4067867898,89.7121385499
B,43.588468468,89.7455365536
C,50.4815081703,93.2227013657
C,50.2824056687,97.6099835723
C,50.1867033389,99.6946801425
C,50.3269108629,90.0220534916
C,50.4562073315,89.9874101286
C,30.4648469308,82.0892320845
C,30.5015964737,82.3071263462
C,30.489569227,77.7298801366
C,30.45024833,79.8348944011
C,30.5183947985,68.2525829388
C,30.5116612138,66.0937181831
C,30.4980777147,62.3849850338
C,30.6202277519,60.8600821544
C,30.4921854231,55.8789168923
C,30.474634333,52.3221596388
C,30.500998079,48.0696996767
C,30.4944213623,45.7734755346
C,30.4995445502,49.3820997506
C,50.144392979,47.0142836417
C,49.9128985877,55.5878389121
C,50.3374274859,57.9553142818
C,50.4189791992,60.5249117346
C,50.2052589714,57.9242171676
C,50.4353151633,56.4393224734
C,69.5057889042,59.2849248279
C,69.5340709833,64.8929773346
C,69.5101069302,61.3296244282
C,69.5263228876,56.9952791254
C,49.9472399619,48.2295767261
C,50.0631041291,58.085037556
C,50.489902373,39.2054119682
C,49.6888638379,42.018514414
C,50.3334811097,43.588671479
C,50.4467514196,57.2305889423
C,50.4209091963,43.3479568967
C,50.3740520508,32.9182406167
C,30.4768299051,39.4246055913
C,30.5034743497,38.3485561381
C,30.5048349283,28.7714879939
C,30.4622184647,32.7504720275
C,30.491302622,43.5613740753
C,30.449653838,44.9951230008
C,30.4859942157,47.3479464653
C,30.5020767935,36.4412129198
C,30.4780588886,28.020580489
C,30.5011608787,38.3141385582
C,30.5047730174,26.4166256707
C,30.509115326,22.8255471196
C,50.1156321728,16.6940065479
C,50.4483013392,21.6402564599
C,50.17317743,29.177864393
C,49.9227419194,38.4404729124
C,50.3112993746,26.8604882737
C,50.3994096114,38.9638389234
C,50.3373626448,40.913386144
C,50.2023180965,47.2129480045
C,50.2749326091,49.6234993439
C,69.4943803061,52.6124107059
C,69.5193397556,47.384533707
C,69.5291826079,57.8412666804
C,69.495755496,58.785073162
C,69.199057706,60.4189573202
C,69.5510914402,58.4010982686
C,69.5066843151,68.0844667893
C,50.4441175504,75.0132995059
C,50.4672293846,90.281464505
C,50.210881979,80.9417717084
C,50.205406955,90.6405359009
C,50.4382906648,92.3547602661
C,50.3735188462,82.2192057218
C,50.253683689,81.7438287242
C,50.2504708592,71.9513852104
C,50.0870583609,73.9518736268
C,50.2310718829,80.6473870602
C,50.2077411201,73.1145035177
C,30.4995061735,53.6125276703
C,30.5203612407,65.1004090686
C,30.4549558873,63.5017787814
C,50.4164772292,97.2696919618
C,69.5250693831,93.5980502089
C,69.5202566002,97.1938760167
C,69.4989700668,92.1204899292
C,69.5286156637,91.6220882409
C,69.4997669273,84.47968329
C,69.5038013697,81.8154056166
C,69.4875893963,81.8359875567
C,69.5191157281,71.1159672213
C,69.5043762947,70.4934438205
C,69.5125730109,61.497563947
C,89.4942005622,62.2343269676
C,89.5001240511,53.2163306165
C,89.490246254,48.890796551
C,89.49778562,46.6299066746
C,89.5048511306,48.4234081578
C,89.5010526463,43.3473436951
C,89.4888412549,40.6250912209
C,89.5016235276,45.8151791904
C,89.497529662,33.901372671
C,50.4390920216,37.670771798
C,50.179850128,36.8075593352
C,69.5050706711,33.7401525035
C,69.5798670452,21.9352367455
C,69.5064719492,22.7286628748
C,69.4994788728,16.3374699821
C,69.500264751,27.1360239942
C,69.5041565157,23.6689181006
C,69.5322795847,21.8509008151
C,69.5001114942,11.7916260054
C,69.5048154243,15.6143582625
C,69.5034745234,17.1690897689
C,50.3774019862,16.5060150613
C,50.3394254813,18.7234506861
C,50.0936501016,11.6077134241
C,49.9341271714,22.2561397401
C,50.2888186122,13.436410466
C,50.2879944267,12.8722822086
C,50.2347207,20.4044729196
C,50.2797016367,15.608737571
C,50.2530067222,11.3020842468
C,50.4741411162,12.4619966676
C,50.1084399725,18.2590443442
C,49.919058249,3.7168538855
C,50.0836645085,10.2358819024
C,50.3522608355,12.4686005273
C,50.4975722411,7.40962523419
C,50.0163058346,16.2536847911
C,50.4682212165,13.3567024555
C,69.5506789842,9.03298756904
C,69.5186727475,15.1804864298
C,69.5034574098,16.8783132661
C,69.4994868291,10.2078266798
C,69.5275296829,9.99229666551
C,69.5190952617,11.4226857018
C,69.5618994268,15.9998037858
C,69.5010445197,5.95583353945
C,69.524635976,2.73476016988
C,30.4995937106,26.0855615691
C,30.487391709,19.7794703733
C,89.5001804719,31.9789174357
C,50.4102716314,98.6283694405
C,50.3259243927,94.9946308528
C,50.1040315041,95.0885380179
D,38.3377571839,92.472719051
D,35.7518707905,94.1167680276
D,32.7672179591,88.5182945794
D,33.7296067755,88.622265789
D,37.238249327,83.7249284144
D,36.0271982243,82.0407806505
D,39.2392807768,79.2637238398
D,39.7845249391,82.2605658962
D,35.1660293896,84.1564919839
D,40.622115916,78.5421042089
D,39.181907086,79.8190371976
D,42.4308889944,75.1336346406
D,43.0812558617,75.3467016413
D,44.3607194344,70.4742070546
D,44.3247788435,71.0459044019
D,47.552160202,66.4604037217
D,48.6649246215,64.9610049438
D,46.280631958,68.0284231525
D,50.5632444849,62.6238279659
D,52.6309642318,59.9639357915
D,54.6362064446,57.4938424367
D,51.346027139,61.6005530364
D,57.134855354,53.8779658045
D,54.1712415737,58.0598078952
D,50.9423823071,62.0973939351
D,66.512924456,59.0712818478
D,64.3979095023,56.1748754008
D,68.686593294,62.2373439902
D,65.0277937057,57.0962573525
D,53.3045031712,40.883844549
D,52.9451780881,40.3846256942
D,45.225738199,30.5552259226
D,50.8433046202,37.7446280981
D,49.6592939398,36.273442735
D,47.1427889348,32.0250641734
D,41.2700565259,21.7218171465
D,47.1301271555,31.3099029222
D,40.9159715783,23.5415923929
D,38.6601639737,21.6895496369
D,42.6125508262,24.195053774
D,41.2090395008,24.1287091891
D,50.6492211499,37.4837907435
D,52.1319019406,39.3646020815
D,39.7972712705,16.083549649
D,43.5498814807,24.3072109395
D,36.7146633371,17.3818098572
D,37.2246101278,17.9800644828
D,40.5124478537,22.9622145725
D,40.2220627884,20.6146217044
D,44.1249612057,23.3662452858
D,42.3462616039,24.5583269437
D,44.1890843708,28.772625473
D,45.8142453101,31.056979672
D,46.6431192691,31.4072190618
D,52.1898883047,39.3677964938
D,51.1003173587,38.095699984
D,65.4008341477,42.6140320392
D,64.8520398267,43.1337348404
D,63.4038060118,44.847493688
D,65.3715488709,42.6959713164
D,61.9080397046,53.1903520694
D,71.8266529973,65.6862303604
D,72.6546231621,66.8782776113
D,76.8885781632,72.1654720777
D,43.7446196844,71.2679610751
D,39.0542484428,83.1190207043
D,39.9316746322,79.9391880033
D,39.762826107,76.4059674459
D,41.323383287,80.2118685969
D,41.7873232275,83.9880779935
D,39.7556490651,79.6570966361
D,40.7498793985,77.204657286
D,43.8568984983,77.6098436482
D,42.3678224956,73.6382718294
D,39.4629598364,78.459973898
D,44.5173339492,70.3693498252
D,41.6360929963,76.2492229205
D,45.4229321817,69.0955016709
D,42.0028562742,97.8376147235
D,76.1056290282,95.3049805754
D,79.2025626772,92.4072156264
D,84.8482440854,95.4248045304
D,81.5644753207,83.7929072262
D,85.4461864009,83.0782938448
D,80.3124913784,76.5162389518
D,80.7662322969,79.8960656796
D,82.6701124763,81.711479845
D,77.1636254828,73.5237189623
D,74.0707000309,68.4795642895
D,74.1142308687,71.9263635185
D,68.942075458,62.635150577
D,73.2420023309,67.3532711288
D,71.8670131631,34.3291575887
D,71.5691888532,34.699218607
D,71.4829096934,34.6805169926
D,78.1285220512,23.139231835
D,78.789825254,25.5971933466
D,77.7815467962,23.4472144745
D,48.5306293681,34.1524500077
D,65.5307814724,42.2810847015
D,70.1180341426,36.4481847905
D,70.4722626065,36.0880530553
D,76.7911300701,28.0720081685
D,72.4093545935,33.0392569664
D,76.271299815,25.5695441452
D,76.9532591384,27.7706107405
D,75.1077300904,30.0169834157
D,75.9692852004,29.0388653753
D,75.2838870131,24.8747531721
D,77.0522406385,27.9056390894
D,42.8267563374,25.5569594065
D,42.0806606852,24.9465264454
D,39.8783046498,18.3249292157
D,36.4754991726,17.7189477884
D,37.1030736419,15.4456116477
D,34.1489682077,13.5238698677
D,37.5794219113,15.0158901333
D,41.0643057894,12.2144689321
D,42.195266147,20.9193721857
D,36.6055782383,15.748875885
D,39.4311612098,19.3238407541
D,37.5620763361,11.9284457044
D,34.2381100444,13.7131582305
D,34.1409410386,4.57766135024
D,36.6592676972,17.6819644553
D,40.6437192795,20.2408613716
D,36.7924815919,13.3921347304
D,75.9483006427,22.7447959146
D,76.8406924717,20.9185472197
D,81.9504776395,19.8745582085
D,81.6437056853,16.5917599845
D,84.6102197758,14.2477619017
D,84.1028794336,8.98065579006
D,80.18002545,19.0888441297
D,80.5732729943,8.36563890168
D,79.0043268649,10.6281977654
D,40.0481864651,24.2614879334
D,34.7945935378,13.9696834611
D,79.221764441,22.0945914837
D,36.0308797708,93.1217332374
D,34.4995583102,86.6099850511
D,31.1068665551,89.4616352367
E,58.2136082599,91.881891513
E,58.1960536923,92.2149886482
E,58.7182307185,90.310532087
E,57.27837287,89.9076067166
E,58.082020494,92.0081450101
E,57.4894477748,88.0852855629
E,28.088741319,63.5107944263
E,28.0854682136,63.5901969481
E,28.087273053,63.1232828116
E,27.5780252176,62.8210386566
E,27.7799191139,63.518147517
E,28.5889998149,63.0240805653
E,28.7391414969,62.7208638859
E,27.0246032407,62.9018588649
E,28.8013366963,63.389040388
E,27.186463838,63.5587296478
E,29.2851466002,63.3836058254
E,39.4029453026,51.1508571967
E,28.8113284396,61.3578540576
E,34.3039579069,56.5421259093
E,29.6027609801,60.157346722
E,49.1161568603,63.6600006211
E,39.6175458263,62.9251879574
E,43.23308466,63.1652187223
E,64.8927879422,65.8141767574
E,62.4901493154,74.5842896072
E,68.9880844294,63.232147305
E,62.1056186306,75.9908707599
E,32.4618467439,62.8819029189
E,41.3272006535,49.0702512739
E,44.0071499323,46.4496737846
E,44.0740606888,34.5532038906
E,44.0013152386,33.9042073544
E,45.0063004454,38.2990195507
E,44.4438406096,36.0190833012
E,42.1787133986,26.492119482
E,44.0445656189,35.6622382764
E,41.6404540171,27.0930954213
E,41.9383300069,24.9915229793
E,44.0539275103,33.5563924949
E,39.2067193308,51.5337156971
E,28.7044492315,61.7775254006
E,31.7086628996,58.837754374
E,42.8117114739,30.0204484197
E,43.300614891,31.5264261979
E,40.3986329069,16.3470083822
E,40.4356915763,20.2326706762
E,40.9365466658,16.9130048364
E,39.6615736653,15.609355577
E,40.899259175,20.7985289466
E,41.9686168283,26.4970725985
E,40.3834058238,21.3912255247
E,56.5381264538,32.4442454697
E,52.9706912828,29.0401966941
E,54.6209525885,30.3445244537
E,65.0990443941,27.2415575588
E,63.0559909076,29.7090956748
E,70.9601362323,41.2595012867
E,69.8958192404,43.4537592655
E,70.5958928563,41.9647438672
E,69.6470214273,44.044445022
E,77.392982494,63.3714590552
E,64.4007871926,67.4487184472
E,63.8689598271,70.2137388333
E,56.5944213157,86.9270062202
E,56.5313372853,87.4998110713
E,59.6521583697,87.8094615921
E,56.6365087005,85.637495556
E,58.6722880025,90.077160307
E,58.2216127264,90.4110187715
E,57.9146644768,89.9538027677
E,55.3155090581,80.2518606944
E,54.5757285877,77.5362884724
E,54.4130936504,78.2290865878
E,55.0745059041,79.8175464166
E,29.4329605156,60.8017765444
E,29.4226860665,63.0684648229
E,29.0056141576,63.3907513334
E,58.4618385916,90.2653263904
E,57.997804739,92.1599086113
E,57.5494740761,90.7489065581
E,59.5299284566,88.3272741451
E,58.2493910631,92.1296814778
E,58.0245140126,91.6944211685
E,58.3821244904,90.5534760692
E,62.5667590405,77.7439347591
E,72.1758243064,63.1289294176
E,79.4727615693,63.4086861199
E,80.3577008812,63.2954375404
E,78.7572361375,53.3326200111
E,82.5402395934,56.5410522935
E,86.4358971909,59.7927618087
E,79.4886844186,53.6516742641
E,81.5304203188,56.0253645659
E,79.1867885665,53.2347918468
E,77.8990579454,51.8224583343
E,75.1307142075,23.3724419733
E,76.0580137544,16.3837496882
E,57.6146743876,33.8224476502
E,56.1713975295,32.1179887719
E,66.2878905956,26.1171097453
E,67.8817196169,24.2360184109
E,64.0280813016,27.6726855125
E,77.4966517463,14.9485235577
E,77.6346517616,14.461853927
E,77.8637264289,14.6106776491
E,77.3381581659,15.890054658
E,76.1804165329,15.9125737458
E,77.2526510945,15.1515170246
E,77.4133752817,15.2219279762
E,76.7318493982,16.2168461441
E,49.4711054118,25.0630193062
E,42.4765399431,18.3384735636
E,43.5951158622,19.9942009773
E,50.3399696652,26.4713966117
E,40.7489802561,16.1821416622
E,38.3865255803,14.5802151464
E,38.4040152085,14.4519484496
E,38.7642788913,14.3655904744
E,41.4701423265,17.2780334445
E,47.1554048146,22.3779325323
E,39.5825667453,17.6484528361
E,41.7402438167,17.8293243101
E,39.3118718889,15.6407169743
E,41.6798476925,17.7459190133
E,39.0874644519,15.1223039378
E,41.4815028637,18.0474374446
E,77.6060865492,15.1628725383
E,75.9826615205,16.3069223786
E,76.9457572424,15.858478334
E,77.5437200743,15.253949149
E,77.5847398447,15.8300393854
E,76.8223042562,15.5951653195
E,77.3485716647,15.7745292395
E,77.5731526867,14.7806458332
E,77.9726106776,14.9556987461
E,41.5289197586,24.9164251896
E,43.7225508034,19.0773278036
E,79.3260781751,52.9003912897
E,56.6639740815,87.9401250067
E,57.8217892319,90.6931665489
E,58.2431718991,92.1043278652
F,57.6132335477,83.9051707998
F,51.2743918205,82.8179829379
F,50.7538984114,76.7541289533
F,37.0211840116,81.954469997
F,42.8817550897,80.1847700514
F,37.1557104777,84.9541114129
F,38.7318581261,83.7893564281
F,31.0005254108,82.5794805962
F,25.9854996226,74.3493875478
F,23.7145662909,75.0980490792
F,23.077319507,71.7205396747
F,24.9391368744,72.5802858084
F,17.8934987136,71.1096873431
F,23.6730818572,64.8708391385
F,23.7490719056,63.557171895
F,32.2151786343,65.6009580191
F,29.4368412489,67.5545281141
F,40.0500951983,71.8890335708
F,37.5747950188,69.9887444412
F,49.3104686263,67.1687603206
F,47.3480185524,72.5916115408
F,50.157414434,71.1617258246
F,58.2100082697,68.0445380719
F,56.6089076561,70.4089460888
F,52.8338205303,72.5518862725
F,61.8185854576,76.1128240228
F,61.7276334143,77.0692384058
F,62.1922520815,76.1568192103
F,58.1187658587,73.1189614684
F,58.2704123843,35.5968950425
F,59.7665303129,32.6212516009
F,52.5355347207,27.1741229419
F,50.8925215809,29.1452839382
F,49.9675511775,28.4602033343
F,51.3478832298,27.3642602259
F,37.5551162883,24.5376638386
F,39.1995941778,23.6804956588
F,36.3827221955,25.2380052325
F,41.1006943822,26.5526132161
F,28.2178118248,28.2802924847
F,33.7970720433,28.6997507433
F,43.9193873055,27.7978445882
F,44.4164011084,28.9476923345
F,28.0376027706,26.8038243613
F,31.6895761296,26.6664002089
F,27.2796128523,19.2572809685
F,31.2218783581,26.4408557812
F,33.5458051034,20.0807081014
F,39.7363306065,23.4948069772
F,42.8418426525,20.3339004396
F,47.0937298879,26.9934706312
F,51.4536583539,26.0229417521
F,49.3677068167,22.005580703
F,48.2534809736,29.2708555331
F,61.0029597643,30.0153144324
F,60.8065608049,27.8683134861
F,59.0674270249,26.7882840217
F,61.4146337175,31.0393750583
F,68.9343694692,31.6198930866
F,63.0652438592,34.2357465852
F,72.2725228706,67.6444437851
F,75.3598819664,75.4216145799
F,72.8336258709,72.1146938095
F,70.8104148392,79.3504618327
F,45.8019347617,81.6582677456
F,45.835020171,82.7425919919
F,40.0788064496,80.2471852579
F,51.9829247003,82.2043834675
F,57.337906053,84.9995188696
F,62.3362327624,83.2465678988
F,58.5059100905,81.7455863409
F,56.2479351377,83.513949493
F,55.4065208295,80.2666719669
F,53.2839688423,84.2635992213
F,44.6767615455,80.2382855483
F,30.0112642472,68.1467563743
F,29.7452539206,74.4045268347
F,37.3099483549,72.5861552003
F,61.1359469093,82.5375693646
F,61.7206191907,85.7056934492
F,63.6093798555,83.3600288362
F,70.7237162322,87.1522075165
F,75.0063926418,82.4258351563
F,75.0925497814,83.4373907092
F,70.3279291834,82.0293546968
F,70.8633308324,79.4081747457
F,75.7799048195,79.8861994199
F,78.0936590733,77.759558184
F,76.7457612243,71.9733600919
F,78.4646034437,69.7493008209
F,76.7456848486,70.0440572588
F,85.161682187,65.5124047088
F,91.8083525691,34.9655944844
F,91.8874485924,34.7692538555
F,92.2484016622,32.3771544295
F,91.782532741,34.3842946521
F,96.0805193672,28.0536005018
F,92.2478988278,28.0707514904
F,57.662276619,24.0606079328
F,59.8469248931,26.1777124879
F,64.0670962137,27.7765005568
F,60.9815013975,23.9342981582
F,59.9670579092,26.8025832185
F,62.7074541119,21.9955085787
F,69.1952352018,22.709792166
F,65.5923626471,20.6941731019
F,64.6170985343,22.4431455531
F,59.191159132,17.767901807
F,55.8396313724,21.6185696663
F,59.0007586238,21.1710074885
F,56.4593711284,25.1445642082
F,52.3581053558,19.4170541222
F,51.8116637782,17.0334945954
F,54.222845621,19.503665544
F,49.0187553996,23.4892740197
F,35.6535812004,17.5145080595
F,46.965785757,16.7892016247
F,49.5842392555,16.7579160147
F,51.8562999655,21.969084007
F,55.9528886329,16.7897576048
F,51.6637862607,19.9251251977
F,45.8596693166,17.1289036754
F,39.7403795202,18.7410514146
F,52.8112216438,17.8549881176
F,56.7891043639,17.3061155207
F,54.1145317806,17.6735343896
F,55.571119732,17.369574581
F,65.3064624975,18.1973548277
F,66.9907491546,17.2228706509
F,72.1567189391,16.8142747914
F,70.9805804021,17.15575228
F,72.2220822073,19.3692816955
F,79.7001583481,20.740218365
F,64.2491606461,14.9139624607
F,66.9432914334,20.1891325034
F,66.9416766634,18.2435093914
F,39.6482666468,22.7313663718
F,37.9497836858,26.5217492344
F,86.5043905611,34.8940252874
F,50.8154853559,78.950838805
F,51.1834666638,85.1288546497
F,40.8638552293,82.9261452983
G,51.1479167122,90.8674123313
G,50.5171258092,89.1023945866
G,50.2074801993,85.4600473951
G,50.0694819181,83.0576695262
G,50.5628463386,82.9378217764
G,50.288527801,82.9752535659
G,25.5834750822,82.9148911324
G,25.4835833896,82.929084979
G,25.4435257049,82.8742004973
G,25.5651134237,82.9240977704
G,25.9288442731,82.8211841087
G,27.5514782612,51.4873865306
G,27.5304663693,51.4148465629
G,27.0955703605,52.0767994399
G,27.4392496133,51.7120790527
G,27.8782642594,50.70890793
G,27.3388689181,51.6530467544
G,27.6784029741,51.1819891691
G,52.6356576791,51.4185522584
G,52.0252141055,52.1230110467
G,52.8811647904,50.6215547554
G,52.9526073133,50.0747390118
G,52.5205524936,51.5024421035
G,52.3428220582,51.8619520908
G,51.9275902141,52.2577906065
G,52.7137744894,51.1979443188
G,50.4438027888,82.9418288173
G,50.2166950326,83.7523429676
G,52.1841801076,51.9752506714
G,52.7920973459,51.0733956509
G,52.5897198565,51.338090196
G,52.0288486671,52.1768375002
G,52.729246581,51.2017650475
